Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
43,2,2,1,1318,1,13,46,25.12689085,55.263874387067744,8.658610357744806,14,0.15776767843657796,159.33232169954476
1068,1,2,1,744,0,13,118,25.21683265,55.30011608643647,3.241162058536879,24,0.6077011987013862,188.1720430107527
1380,0,2,1,396,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,113.63636363636364
2710,5,2,5,3998,0,13,103,25.0671417,55.15679141639751,19.097212907145,29,0.2852510860470962,175.0872936468234
2234,1,2,1,803,1,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,93.39975093399752
244,1,2,1,958,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,88.72651356993737
1099,2,2,1,1427,1,13,55,25.118441,55.387147,15.13623779554719,12,0.06781772982364577,59.56552207428171
500,1,2,1,1285,0,13,113,25.1647586,55.2187285,6.871961622785601,25,0.19032835596366512,140.07782101167317
2710,6,2,4,9466,1,13,103,25.0671417,55.15679141639751,19.097212907145,29,0.2852510860470962,68.66680752165645
1739,4,2,5,3085,1,13,46,25.09872095,55.25394008697513,11.873242595816919,14,0.13452109142213745,92.38249594813614
792,0,2,1,493,1,13,41,25.03827075,55.145695642320376,22.349156098642457,16,0.18999865429335974,105.47667342799188
2621,1,2,1,801,0,13,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,273.4082397003745
1634,1,2,1,606,0,13,58,25.0410289,55.2516876,18.243803106756843,5,0.0951001702912769,132.01320132013203
2792,3,2,1,2064,0,13,107,25.09125005,55.170056626517066,16.167880539631586,10,0.2795714283508692,130.8139534883721
2797,2,2,1,1500,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,100.0
1701,0,2,1,446,0,13,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,173.76681614349775
2218,2,2,1,970,1,13,57,25.0321379,55.219353,19.817861705840954,23,0.10858320810714238,72.16494845360825
1855,0,2,1,380,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,144.73684210526315
271,2,2,1,1500,1,13,16,25.2913041,55.3744578,14.173435968993358,22,0.07336872984612597,36.66666666666666
701,0,1,1,370,1,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,108.10810810810813
